Unnamed: 0,EnBlockRNNModel,EnBlockLSTM,Model,Batch Size,Max Steps/Epochs,Training Samples,Prediction Samples,Noise Std,Noise Type,Input Length,Forecast Horizon,Training Time (s),Inference Time (s),MAE,MSE,RMSE,MAPE,sMAPE,sMdAPE,MPE,OPL,MASE,RMSSE,OWA,CRPS,PICP,MIS,MPIW,Rho_Risk
CRPS,12.467190265655518,11.91275065285819,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,15.444000789097377,14.907536506652832,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPE,1228161728.0,860284089.1428572,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASE,1.2140507783208574,1.1746429715837752,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIS,261.14106260027205,236.393741607666,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPE,-1228161728.0,-860284073.4285715,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPIW,27.217513220650808,28.95398167201451,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSE,984.8435538155692,964.7671639578684,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPL,0.2486512213945388,0.1625334343739918,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWA,27498457.64285714,321354822.85714287,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICP,0.551703155040741,0.7814998200961522,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,15.444000789097377,14.907536506652832,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSSE,0.7176871853215354,0.6943376958370209,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rho_Risk,0.5576854582343783,0.5547722727060318,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Time (s),108.82896208763124,81.02689099311829,,,,,,,,,,,,,,,,,,,,,,,,,,,
sMAPE,78.78751809256417,47.59823989868164,,,,,,,,,,,,,,,,,,,,,,,,,,,
sMdAPE,50.30000741141183,17.14555321420942,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,EnBlockRNNModel,64.0,30.0,2.0,100.0,1.0,gaussian,24.0,24.0,67.89542245864868,0.0364298479897635,15.38331699371338,985.2955583844866,15.38331699371338,1069069435.4285716,79.57647814069476,51.32360076904297,-1069069435.4285716,0.2481978471790041,1.2090979218482971,0.7147660894053323,23120239.07142857,12.525120190211704,0.5432307933058057,269.4739903041295,25.62050301688058,0.560499519109726
,,,EnBlockLSTM,64.0,1.0,2.0,100.0,1.0,gaussian,24.0,24.0,3.505714178085327,0.17044823510306223,17.051778929574148,1088.0368913922991,17.051778929574148,8256043885.714286,99.92993055071149,76.72532326834542,-8256043885.714286,0.30364509778363363,1.3366361260414124,0.7896476771150317,213032678.85714287,13.360047885349818,0.8166492836815971,226.63810185023718,40.97503226143973,0.5734736983265195
,,,EnBlockGRU,64.0,1.0,2.0,100.0,1.0,gaussian,24.0,24.0,7.924992322921753,0.2039167881011963,20.420129231044225,1162.5274571010045,20.420129231044225,34668478171.42857,105.99639892578125,88.1339841570173,-34668478171.42857,0.3581402770110539,1.6086227212633406,0.9507048981530326,1806966948.5714285,15.457829339163643,0.8620959264891488,192.8649139404297,72.36099788120815,0.6361875917230334
,,,EnDLinearModel,64.0,1.0,2.0,100.0,1.0,gaussian,24.0,24.0,13.346355438232422,0.2607262134552002,52.617302485874724,6100.296840122768,52.617302485874724,249884180480.0,119.19186074393136,141.49032592773438,-249884180480.0,0.35156639558928354,4.158830472401211,2.4605850662503923,938754002.2857143,40.86014992850168,0.9998696531568255,388.54154314313615,388.42870657784596,1.517448101724897
